i,j,tau_sch,margin_sch_exact,margin_sch_float,tau_cau,margin_cau_exact,margin_cau_float,ratio_cau_over_sch
39,0,1,578584617518142108034153033783240453359493926587492764121219685177747014075132381739373802767349248513141345921128775668514949711177267631/11109226234542414330490473611560041631509134102121982028481220033312606813857836840497839148156344890594482421875000000000000000000000000000,0.0520814506161665,1,578584617518142108034153033783240453359493926587492764121219685177747014075132381739373802767349248513141345921128775668514949711177267631/11109226234542414330490473611560041631509134102121982028481220033312606813857836840497839148156344890594482421875000000000000000000000000000,0.0520814506161665,1.0
39,1,1,147682063677643443410551273699662725897519357288256218886613034225288346262598139979159735719148987544860039591940836198038057833628918384353212933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05217203230320729,1,147682027643226445595196484939146395967949520975752565813059298934171439206086555177746445598765483931700681569672739934016991197545480103103212933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05217201957323372,0.9999997560000443
39,2,1,289908113094375557430070190737837701738524972437118365968666411953579978093613961327848095915012424180373592836685885749341622695997877083642109/5528661964787316085369211059423416558503361713798434064222077886658485157411746513389516621828079223632812500000000000000000000000000000000000000,0.05243730127485342,1,289906992022101926714239115591185657871464420026123302679494627869041974589124693549296759349499193162161343368934290049249788359543384896142109/5528661964787316085369211059423416558503361713798434064222077886658485157411746513389516621828079223632812500000000000000000000000000000000000000,0.05243709850024344,0.9999961330082775
39,3,1,87977347857620176987294863614893801984965479120133376500137782997331318983113111233743128357780123735841844819104561391673141026305624681471833/1664124001158792378429768408245026030543045971466665632499531968235828571778256446123123168945312500000000000000000000000000000000000000000000000,0.052867062668622185,1,87975652202629887116097736391774984718471014129634390928461816105188983513534652885298649167797234721577408302750615004533246223039218431471833/1664124001158792378429768408245026030543045971466665632499531968235828571778256446123123168945312500000000000000000000000000000000000000000000000,0.05286604372112241,0.9999807262320178
39,4,1,23557855442926174061873830253171566058443663290684102919583419335581892765498256023784855190160638709520807237349491180741408863453662566511/440741546937764356295377157160667774115382789684186389048316158056320564206931322814853047020733356475830078125000000000000000000000000000000,0.053450498612178036,1,23556450800953624036859684757029691926254233536652892096956862793299592289429207653563029938747042460368997964510786368343822681776416472761/440741546937764356295377157160667774115382789684186389048316158056320564206931322814853047020733356475830078125000000000000000000000000000000,0.05344731161521279,0.9999403747944734
39,5,1,153355243791549443681455943775796788011522206728815604218522634127817748043684176277282953375270833715622393513694576752339075196235039418344337933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05417621161106608,1,153333512738794823168033727158953241676822685479196676039050082339637110850264121022849624371838657671841664946435359259572093476605644887094337933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05416853462472079,0.9998582959915987
39,6,1,1252077987593112491724019128870887081060620633363279234215192250035698119485254674019961245613531836703619134029427084897742429302372433217663/22751695328342864548844489956474965261330706641145819194329538628224218754780849849339574575424194335937500000000000000000000000000000000000000,0.05503229405649344,1,1251721714393184104091775106991784125420476416811094114886052828955385849871232851115339492236734853901390173721414783807357220796708370717663/22751695328342864548844489956474965261330706641145819194329538628224218754780849849339574575424194335937500000000000000000000000000000000000000,0.05501663486297898,0.9997154544657292
39,7,1,158535981627839932890826629457591430341158048934810971713164681208967592481843484339758867041696224175661360234200480724973547102411668264835462933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05600642453617374,1,158455448760859571169046783468706358907328469161942366466054895075429700124374431229369951101166980292248111376403876071725532992052917483585462933/2830674925971105835709036062424789277953721197464798240881703877969144400594814214855432510375976562500000000000000000000000000000000000000000000000,0.05597797447776488,0.9994920215199512
39,8,1,154106029038400383644179294291022982227282153635821516376957479079496246075905581890974295520804807022236206632792449461208593850643189346833/2699541974993806682309185087609090116456719586815641632920936468094963455767454352240974913001991808414459228515625000000000000000000000000000,0.05708599105548412,1,153977935530509907541743274717548389482966327886754580047623143860315963595269026318928015059550136863221085251548699998688080175179322159333/2699541974993806682309185087609090116456719586815641632920936468094963455767454352240974913001991808414459228515625000000000000000000000000000,0.05703854096614414,0.9991687962587203
39,9,1,678642556001471605852160412417710897247083842993296459826436299373393887948771701596673528613648712293293487828618530965581065612118104671427831/11648868008111546649008378857715182213801321800266659427496723777650800002447795122861862182617187500000000000000000000000000000000000000000000000,0.0582582406744507,1,677779654690213528847346615615328333316908466800065840829050865485094645940909303441516819913582927772072451428491963269514435304597010921427831/11648868008111546649008378857715182213801321800266659427496723777650800002447795122861862182617187500000000000000000000000000000000000000000000000,0.058184164694651014,0.998728489241314
